Population Estimates by County,
County,Population
Adams County,"511,868"
Alamosa County,"16,683"
Arapahoe County,"651,215"
Archuleta County,"13,765"
Baca County,"3,585"
Bent County,"5,882"
Boulder County,"326,078"
Broomfield County,"69,267"
Chaffee County,"20,027"
Cheyenne County,"1,876"
Clear Creek County,"9,605"
Conejos County,"8,200"
Costilla County,"3,828"
Crowley County,"5,858"
Custer County,"4,954"
Delta County,"30,953"
Denver County,"716,492"
Dolores County,"2,074"
Douglas County,"342,776"
Eagle County,"54,993"
El Paso County,"713,856"
Elbert County,"26,282"
Fremont County,"48,021"
Garfield County,"59,770"
Gilpin County,"6,121"
Grand County,"15,525"
Gunnison County,"17,246"
Hinsdale County,811
Huerfano County,"6,889"
Jackson County,"1,399"
Jefferson County,"580,233"
Kiowa County,"1,383"
Kit Carson County,"7,163"
La Plata County,"56,310"
Lake County,"7,824"
Larimer County,"350,518"
Las Animas County,"14,503"
Lincoln County,"5,610"
Logan County,"21,528"
Mesa County,"153,207"
Mineral County,776
Moffat County,"13,188"
Montezuma County,"26,158"
Montrose County,"42,214"
Morgan County,"28,558"
Otero County,"18,432"
Ouray County,"4,833"
Park County,"18,556"
Phillips County,"4,286"
Pitkin County,"17,950"
Prowers County,"12,164"
Pueblo County,"167,529"
Rio Blanco County,"6,336"
Rio Grande County,"11,250"
Routt County,"25,733"
Saguache County,"6,843"
San Juan County,762
San Miguel County,"8,191"
Sedgwick County,"2,303"
Summit County,"31,007"
Teller County,"25,083"
Washington County,"4,909"
Weld County,"314,305"
Yuma County,"10,020"
"Source(s): U.S. Census Bureau, Vintage 2018 Population Estimates 
 Powered by the U.S. Census Bureau
 Data may contain sampling error. Sampling error and margin of errormay render some of the differences between geographies statistically insignificant.An 'X' entry indicates that either no sample observations or too few sample observations were available to compute an estimate.Note that an 'X' entry in other US Census Bureau tables could indicate a different issue.
  ",
