County,Population,MedicalSales,RetailSales,TotalSales,TXSalesTax,LicenseFees,TotalTaxFees
Anderson,58057,4130174.98,3293573.61,7423168.02,612501.35,124822.55,733840.48
Andrews,18128,1289625.92,1028401.44,2317846.08,191250.4,38975.2,229137.92
Angelina,87092,6195724.88,4940729.16,11135583.12,918820.6,187247.8,1100842.88
Aransas,23792,1692562.88,1349720.16,3042045.12,251005.6,51152.8,300730.88
Archer,8786,625036.04,498429.78,1123377.96,92692.3,18889.9,111055.04
Armstrong,1892,134596.88,107333.16,241911.12,19960.6,4067.8,23914.88
Atascosa,50310,3579053.4,2854086.3,6432636.6,530770.5,108166.5,635918.4
Austin,29989,2133417.46,1701275.97,3834393.54,316383.95,64476.35,379060.96
Bailey,7027,499900.78,398641.71,898472.22,74134.85,15108.05,88821.28
Bandera,22824,1623699.36,1294805.52,2918276.64,240793.2,49071.6,288495.36
Bastrop,86976,6187472.64,4934148.48,11120751.36,917596.8,186998.4,1099376.64
Baylor,3582,254823.48,203206.86,457994.52,37790.1,7701.3,45276.48
Bee,32587,2318239.18,1848660.51,4166573.82,343792.85,70062.05,411899.68
Bell,355642,25300371.88,20175570.66,45472386.12,3752023.1,764630.3,4495314.88
Bexar,1986049,141287525.9,112668559.8,253936225.1,20952816.95,4270005.35,25103659.36
Blanco,11702,832480.28,663854.46,1496217.72,123456.1,25159.3,147913.28
Borden,648,46098.72,36761.04,82853.28,6836.4,1393.2,8190.72
Bosque,18691,1329677.74,1060340.43,2389831.26,197190.05,40185.65,236254.24
Bowie,94324,6710209.36,5351000.52,12060266.64,995118.2,202796.6,1192255.36
Brazoria,370200,26336028,21001446,47333772,3905610,795930,4679328
Brazos,226758,16131564.12,12863981.34,28993277.88,2392296.9,487529.7,2866221.12
Brewster,9267,659254.38,525716.91,1184878.62,97766.85,19924.05,117134.88
Briscoe,1516,107848.24,86002.68,193835.76,15993.8,3259.4,19162.24
Brooks,7114,506089.96,403577.22,909596.04,75052.7,15295.1,89920.96
Brown,37924,2697913.36,2151428.52,4848962.64,400098.2,81536.6,479359.36
Burleson,18389,1308193.46,1043207.97,2351217.54,194003.95,39536.35,232436.96
Burnet,47542,3382137.88,2697057.66,6078720.12,501568.1,102215.3,600930.88
Caldwell,43247,3076591.58,2453402.31,5529561.42,456255.85,92981.05,546642.08
Calhoun,21561,1533849.54,1223155.53,2756789.46,227468.55,46356.15,272531.04
Callahan,13994,995533.16,793879.62,1789272.84,147636.7,30087.1,176884.16
Cameron,423908,30156815.12,24048300.84,54200876.88,4472229.4,911402.2,5358197.12
Camp,13033,927167.62,739362.09,1666399.38,137498.15,28020.95,164737.12
Carson,6005,427195.7,340663.65,767799.3,63352.75,12910.75,75903.2
Cass,30119,2142665.66,1708650.87,3851015.34,317755.45,64755.85,380704.16
Castro,7665,545288.1,434835.45,980046.9,80865.75,16479.75,96885.6
Chamber,42454,3020177.56,2408415.42,5428168.44,447889.7,91276.1,536618.56
Cherokee,52592,3741394.88,2983544.16,6724413.12,554845.6,113072.8,664762.88
Childress,7291,518681.74,413618.43,932227.26,76920.05,15675.65,92158.24
Clay,10456,743839.84,593168.88,1336904.16,110310.8,22480.4,132163.84
Cochran,2836,201753.04,160886.28,362610.96,29919.8,6097.4,35847.04
Coke,3370,239741.8,191180.1,430888.2,35553.5,7245.5,42596.8
Coleman,8397,597362.58,476361.81,1073640.42,88588.35,18053.55,106138.08
Collin,1005146,71506086.44,57021932.58,128517967.6,10604290.3,2161063.9,12705045.44
Collingsworth,2962,210716.68,168034.26,378721.32,31249.1,6368.3,37439.68
Colorado,21217,1509377.38,1203640.41,2712805.62,223839.35,45616.55,268182.88
Comal,148373,10555255.22,8417200.29,18970971.78,1565335.15,319001.95,1875434.72
Comanche,13534,962808.76,767783.82,1730457.24,142783.7,29098.1,171069.76
Concho,4276,304194.64,242577.48,546729.36,45111.8,9193.4,54048.64
