"","2018Pop","2019Pop","2020Pop","2021Pop","2022Pop"
"Texas",28701845,29031951,29330447,29599408,29844398
"Houston",2325502,2329187,2326767,2319584,2307652
"SanAntonio",1532233,1554495,1573089,1589637,1604586
"Dallas",1345047,1376559,1391064,1404819,1418018
"Austin",964254,972995,981294,988531,994767
"FortWorth",895008,909522,924429,938511,952046
"ElPaso",682669,689813,692523,695354,698455
"Arlington",398112,401634,403095,404093,404629
"CorpusChristi",326554,324480,323059,321036,318472
"Plano",288061,296975,296241,294945,293085
"Laredo",261639,262403,263525,264521,265394
"Lubbock",255885,257944,259747,261388,262884
