,1,2,3,4,5
Year,2014,2015,2016,2017,2018
Texas,26977142,27486814,27937492,28322717,28701845
Houston,2240982,2286630,2309752,2317445,2325502
SanAntonio,1435839,1464531,1488512,1511409,1532233
Dallas,1279679,1301794,1324477,1343087,1345047
Austin,901734,921545,939768,951750,964254
FortWorth,815135,835950,856902,875456,895008
ElPaso,677745,677253,681485,682938,682669
Arlington,383074,389101,394780,397105,398112
CorpusChristi,320863,324795,325947,325373,326554
Plano,278062,283416,286576,286815,288061
Laredo,253017,255538,258102,259634,261639
Lubbock,244071,247644,251086,253555,255885
Irving,235761,237331,236500,238560,242507
Garland,232736,237358,240086,240834,242242
Amarillo,197188,197889,198867,199919,199924
GrandPrairie,185970,188577,192300,194214,194614
Brownsville,157139,163458,173336,181757,191645
McKinney,144878,154157,163841,177286,188170
Pasadena,182009,181984,182888,183066,183392
Frisco,154509,154624,154632,153968,153219
Mesquite,137657,140263,143045,145480,149103
McAllen,139027,140323,142418,142841,143433
Killeen,144495,144977,144681,144236,142816
Midland,128446,133523,135019,136353,142344
Carrollton,128309,131204,134266,136082,138541
Waco,129925,131882,133517,136433,138183
Denton,128245,132890,133470,135777,136879
Abilene,112613,115871,120705,123463,128739
Odessa,120647,121694,121856,122210,122999
Beaumont,106192,111553,116332,119831,122149
SugarLand,109163,110871,113890,117028,120981
RoundRock,114620,118614,117325,116910,120568
Pearland,116815,118304,118560,118611,118600
Richardson,117769,118591,119109,119266,118428
CollegeStation,103497,109034,111238,113892,116218
WichitaFalls,102841,103744,104735,106077,106586
Lewisville,94205,97965,101800,104554,106244
Tyler,101515,102711,103954,104810,105729
SanAngelo,105216,103960,104203,104493,104576
Allen,94168,98190,99512,100912,103383
LeagueCity,98592,99716,99809,99830,100215
Edinburg,90505,91994,93053,95815,98665
Mission,73692,76269,82054,84807,87654
Bryan,80674,82124,83357,84346,85445
Longview,82482,83246,83788,84185,84827
Pharr,65890,70118,73343,78928,84612
Baytown,81351,81899,81619,81303,81647
Conroe,75636,76751,77846,79198,79707
Missouri City,69443,70844,73334,76453,77329
Temple City,76040,76435,76544,76895,77024
Flower Mound,67223,69612,72602,75606,76999
"New Braunfels city, Texas",70187,71772,73012,74439,76256
"Cedar Park city, Texas",71054,73519,74190,74368,74705
"North Richland Hills city, Texas",58937,63463,66934,70505,74180
"Victoria city, Texas",62494,64624,66217,68850,70981
"Harlingen city, Texas",68443,69167,69999,70543,70836
"Mansfield city, Texas",65946,67221,67446,67112,67015
"Georgetown city, Texas",58503,60387,62340,63053,66285
"Rowlett city, Texas",65610,65350,65413,65396,65436
"San Marcos city, Texas",54779,57320,59595,63371,64431
"Pflugerville city, Texas",58907,60302,61521,63058,63509
"Port Arthur city, Texas",53587,54183,54902,55273,57346
"Euless city, Texas",35332,39076,43864,49882,56111
"DeSoto city, Texas",54565,55449,55670,55544,55018
"Grapevine city, Texas",50805,51469,52100,54029,53976
"Galveston city, Texas",52118,52700,53192,53660,53523
"Bedford city, Texas",46702,47657,48859,49957,51585
"Cedar Hill city, Texas",49296,49741,50238,50434,50457
"Wylie city, Texas",35793,38810,43105,46504,50314
"Texas City city, Texas",48776,49179,49554,49600,49464
"Keller city, Texas",46434,47353,48052,48462,49153
"Haltom City city, Texas",48226,48710,48774,48803,48463
"Burleson city, Texas",43923,45775,46749,47180,47350
"Rockwall city, Texas",41629,43346,44756,46107,47282
"The Colony city, Texas",33275,36199,39485,43360,46874
"Coppell city, Texas",41300,42111,43250,44133,45112
"Huntsville city, Texas",43874,44187,44485,44487,44339
"Sherman city, Texas",41175,41519,42271,42700,43402
"Duncanville city, Texas",39806,40464,41269,41869,42462
"Weslaco city, Texas",40811,41324,41703,41980,41818
"Leander city, Texas",40432,40803,41209,41374,41521
"Lancaster city, Texas",38892,39292,39929,40130,41171
"Hurst city, Texas",36653,37639,39089,40106,41057
"Friendswood city, Texas",32565,32718,35183,37153,40209
"Little Elm city, Texas",38307,38872,39411,39833,40181
"Schertz city, Texas",38657,38994,39192,39462,39477
"Texarkana city, Texas",39740,39878,39703,39580,39364
"San Juan city, Texas",38649,38917,39164,39146,38992
"Kyle city, Texas",34670,35701,36753,37409,38061
"Lufkin city, Texas",37126,37182,37402,37350,37295
"Del Rio city, Texas",36287,36636,36835,36876,37154
"Rosenberg city, Texas",32158,33011,34095,35319,36807
"La Porte city, Texas",35944,35915,35914,35937,35954
"Deer Park city, Texas",35972,36052,35937,35860,35510
"Socorro city, Texas",35235,35407,35477,35467,35423
"Nacogdoches city, Texas",33367,33655,33924,34030,34533
"Waxahachie city, Texas",33802,33940,34034,33989,33931
"Copperas Cove city, Texas",33515,33643,33703,33593,33542
"Farmers Branch city, Texas",32829,32844,32534,32608,32658
"Southlake city, Texas",29182,30088,31177,31840,32269
"Harker Heights city, Texas",28761,29442,30130,31067,31857
"Cleburne city, Texas",27910,28753,29595,30709,31836
"Eagle Pass city, Texas",29314,29441,29764,30179,30720
"Big Spring city, Texas",25377,26674,27891,29326,30563
"Weatherford city, Texas",27233,27539,28223,29066,29700
"Seguin city, Texas",28647,29020,29256,29342,29487
"Lake Jackson city, Texas",25891,26159,26740,27413,28263
"Cibolo city, Texas",28348,28829,28484,28016,28162
"Greenville city, Texas",24609,25579,26333,26997,27742
