Population Estimates by County,
County,Population
Anderson County,"58,057"
Andrews County,"18,128"
Angelina County,"87,092"
Aransas County,"23,792"
Archer County,"8,786"
Armstrong County,"1,892"
Atascosa County,"50,310"
Austin County,"29,989"
Bailey County,"7,027"
Bandera County,"22,824"
Bastrop County,"86,976"
Baylor County,"3,582"
Bee County,"32,587"
Bell County,"355,642"
Bexar County,"1,986,049"
Blanco County,"11,702"
Borden County,648
Bosque County,"18,691"
Bowie County,"94,324"
Brazoria County,"370,200"
Brazos County,"226,758"
Brewster County,"9,267"
Briscoe County,"1,516"
Brooks County,"7,114"
Brown County,"37,924"
Burleson County,"18,389"
Burnet County,"47,542"
Caldwell County,"43,247"
Calhoun County,"21,561"
Callahan County,"13,994"
Cameron County,"423,908"
Camp County,"13,033"
Carson County,"6,005"
Cass County,"30,119"
Castro County,"7,665"
Chambers County,"42,454"
Cherokee County,"52,592"
Childress County,"7,291"
Clay County,"10,456"
Cochran County,"2,836"
Coke County,"3,370"
Coleman County,"8,397"
Collin County,"1,005,146"
Collingsworth County,"2,962"
Colorado County,"21,217"
Comal County,"148,373"
Comanche County,"13,534"
Concho County,"4,276"
Cooke County,"40,574"
Coryell County,"74,808"
Cottle County,"1,389"
Crane County,"4,794"
Crockett County,"3,499"
Crosby County,"5,779"
Culberson County,"2,204"
Dallam County,"7,200"
Dallas County,"2,637,772"
Dawson County,"12,619"
Dewitt County,"20,187"
Deaf Smith County,"18,760"
Delta County,"5,349"
Denton County,"859,064"
Dickens County,"2,249"
Dimmit County,"10,308"
Donley County,"3,319"
Duval County,"11,212"
Eastland County,"18,322"
Ector County,"162,124"
Edwards County,"1,928"
El Paso County,"840,758"
Ellis County,"179,436"
Erath County,"42,446"
Falls County,"17,335"
Fannin County,"35,286"
Fayette County,"25,349"
Fisher County,"3,839"
Floyd County,"5,837"
Foard County,"1,200"
Fort Bend County,"787,858"
Franklin County,"10,766"
Freestone County,"19,808"
Frio County,"19,816"
Gaines County,"20,901"
Galveston County,"337,890"
Garza County,"6,578"
Gillespie County,"26,804"
Glasscock County,"1,388"
Goliad County,"7,584"
Gonzales County,"20,826"
Gray County,"21,895"
Grayson County,"133,991"
Gregg County,"123,707"
Grimes County,"28,360"
Guadalupe County,"163,694"
Hale County,"33,830"
Hall County,"3,028"
Hamilton County,"8,484"
Hansford County,"5,463"
Hardeman County,"3,922"
Hardin County,"57,207"
Harris County,"4,698,619"
Harrison County,"66,726"
Hartley County,"5,619"
Haskell County,"5,813"
Hays County,"222,631"
Hemphill County,"3,825"
Henderson County,"82,299"
Hidalgo County,"865,939"
Hill County,"36,354"
Hockley County,"22,980"
Hood County,"60,537"
Hopkins County,"36,810"
Houston County,"23,169"
Howard County,"36,459"
Hudspeth County,"4,795"
Hunt County,"96,493"
Hutchinson County,"21,198"
Irion County,"1,522"
Jack County,"8,843"
Jackson County,"14,874"
Jasper County,"35,872"
Jeff Davis County,"2,252"
Jefferson County,"255,001"
Jim Hogg County,"5,248"
Jim Wells County,"40,822"
Johnson County,"171,361"
Jones County,"19,817"
Karnes County,"15,650"
Kaufman County,"128,622"
